Name,Official position,Relations,Relevant memberships
Andorra,"In January 2011, Andorra co-sponsored a draft resolution guaranteeing the Palestinian people's right to self-determination.[195] In September, it argued for a proposed resolution to give the State of Palestine observer status in the United Nations.[196]",No,
Armenia,"On 20 June 2011, Fatah representative Nabil Shaath met with Foreign Minister Eduard Nalbandyan to enlist the support of Armenia in the upcoming resolution.[197] Afterwards, Shaath announced that he had been informed by a number of countries that they would recognize Palestine in the following weeks, and that he expected Armenia to be the first of these.[198] However, the Armenian government did not release any statement regarding the meeting. The situation in Palestine is seen as analogous by the Armenian government to the conflict in Nagorno-Karabakh, and that any recognition of a Palestinian state by Armenia would set a precedent for the right to self-determination in that region.[199] On similar situations, President Serzh Sargsyan previously stated, ""Having the Nagorno-Karabakh conflict, Armenia can not recognize another entity in the same situation as long as it has not recognized the Nagorno-Karabakh Republic"".[200]",No,CSTO; Armenia–Palestine relations
Austria,"Austria conferred full diplomatic status on the PLO representation in Vienna on 13 December 1978, under then-chancellor Bruno Kreisky.[205] In June 2011, Foreign Minister Michael Spindelegger said that Austria ""had not yet made up its mind whether to support a UN recognition of a Palestinian state"", adding that he preferred to wait for a joint EU approach to the issue. ""We will decide at the last moment because it might still give [the two parties] the opportunity to bring the Middle East peace process back on track.""[206] Spindelegger also suggested that the EU draft its own version of the resolution.[207]",,
Further details,Yes[208],"EU, PIF",
Belgium,"On the issue of Palestinian statehood, Belgium supports a joint position within the European Union.[209] In 2011, Prime Minister Yves Leterme called for a European consensus, while the Senate urged the government to recognize a Palestinian state with pre-1967 borders.[210] The Chamber of Representatives adopted a similar position on 5 February 2015. The left-wing opposition called for unconditional recognition of Palestine.[211][212] Despite these declarations, Belgium hasn't recognized the State of Palestine yet. In May 2024, Foreign Minister Hadja Lahbib stated that recognition was not up for discussion, but it wouldn't be granted at the time,[213] while Prime Minister Alexander De Croo stressed that recognition was ""symbolic"" and wouldn't have ""any impact in the field"".[214]",Yes,"EU, NATO"
Cameroon,"Cameroon officially supports a two-state solution.[215] Although a member of the OIC, President Paul Biya has developed strong ties with Israel since the mid-1980s.[216] This perceived friendship has soured the country's traditionally close ties with Arab states, many of whom have withdrawn longstanding economic development assistance and pressed Biya to support Palestinian interests.[217] Israeli Prime Minister Netanyahu asked Biya to oppose the United Nations resolution that would admit Palestine as a member state.[218]",Yes[215],"AU, OIC[41]"
Croatia,"Croatia formalized relations with the PLO on 31 March 2011. Former Croatian Prime Minister Jadranka Kosor stated in 2011 that her government supported the co-existence of Israel and Palestine as two independent states,[221] however Croatia abstained during voting on upgrading Palestine to non-member observer state status in the United Nations and on admission of Palestine to UNESCO. Former Croatian Foreign Minister Vesna Pusić stated on 24 October 2014 that ""Croatia will most likely recognize Palestine soon"".[222] The Croatian government tends to favour Israel over Palestine as a commitment to the United States, to whom Croatia is aligned, and the central quarters of the European Union of which Croatia has been a member since 2013. Croatia believes that if it were to recognize Palestine, this would frustrate its position with the EU and ties to the US, and also because the situation in the Middle East is complicated it feels there is no guarantee that there would be peace and further existence of the Jewish state if Israel eventually decides to withdraw from the occupied territories.[223]",Yes,"EU, NATO"
Denmark,"Danish Foreign Minister Lene Espersen met Abbas on 9 March 2011 to persuade him to return to negotiating with Israel. Espersen also extended Danish support to Palestinian national development.[224] During the campaign for the 2011 elections, the largest opposition party argued that Denmark should recognize the State of Palestine. Foreign Minister Lene Espersen, however, warned that such a unilateral decision could have ""more negative than beneficial"" consequences, and stressed the need to co-ordinate policy with the EU.[225] In December 2014, a bill that called on Denmark to recognize Palestine as a state was rejected in the Danish parliament.[226]",Yes,"EU, NATO; Denmark–Palestine relations"
Eritrea,"Eritrea is one of only two African countries that does not recognise Palestine, the other being Cameroon.[41][227] In October 2010, President Isaias Afewerki stated, ""Israel needs a government, we must respect this. The Palestinians also need to have a dignified life, but it can not be the West Bank or Gaza. A two-state solution will not work. It's just to fool people. Israelis and Palestinians living in the same nation will never happen for many reasons. One option that may work is a Transjordan. Israel may be left in peace and the Palestinian and Jordanian peoples are brought together and can create their own nation"".[228] In his address to the UN General Assembly in 2011, Isaias stated that ""Eritrea reaffirms its long-standing support to the right of the Palestinian people to self-determination and an independent, sovereign state. It also upholds the right of Israel to live in peace and security within internationally recognized boundaries.""[229] On 29 November 2012, Eritrea voted in favour of a resolution to make Palestine non-member observer state at the UN.",Yes[230],AU
Estonia,"During a meeting with Riyad al-Malki in June 2010, Minister Urmas Paet said the country approved an agreement between the two countries and ""self-determination for Palestine"".[231] Officials stated that the government would not adopt a position regarding the United Nations bid until the final wording of the resolution was published.[232]",Yes[233],"EU, NATO"
