Name,Date,Diplomatic relations [note 3],"Relevant membership, further details"
Nepal,19 December 1988[96],No,SAARC
Afghanistan[note 4],16 November 1988[96],Yes[107],"OIC, SAARC; Afghanistan–Palestine relations"
Albania,17 November 1988[96],Yes[109],"NATO, OIC; Albania–Palestine relations"
Algeria,15 November 1988[96],Yes[97],"Arab League, African Union (AU), OIC; Algeria–Palestine relations"
Angola,6 December 1988[96],Yes[125],AU
Antigua and Barbuda,22 September 2011[96],No,"CARICOM, OAS"
Argentina,6 December 2010[96],Yes[161][162][163],"G20, Mercosur, OAS; Argentina–Palestine relations[47]"
Azerbaijan,15 April 1992[96],Yes[135],"OIC, OTS; Azerbaijan–Palestine relations"
Bahrain,15 November 1988[96],Yes[98],"Arab League, GCC, OIC; Bahrain–Palestine relations"
Bangladesh,16 November 1988[96],Yes,"OIC, SAARC; Bangladesh–Palestine relations"
Barbados,19 April 2024[189],No,"CARICOM, OAS"
Belarus,19 November 1988[96],Yes,CSTO; Belarus–Palestine relations
Belize,9 September 2011*[96],Yes,"CARICOM, OAS[179]"
Benin,12 May 1989[96],Yes,"AU, OIC"
Bhutan,25 December 1988[96],No,SAARC
Bolivia,17 December 2010[96],Yes[164],OAS; Bolivia–Palestine relations
Bosnia and Herzegovina,27 May 1992[96],Yes[140],Bosnia and Herzegovina–Palestine relations
Botswana,19 December 1988[96],Yes[126],AU
Brazil,1 December 2010[158][159],Yes[160],"BRICS, G20, Mercosur, OAS; Brazil–Palestine relations"
Brunei,17 November 1988[96],Yes,"ASEAN, OIC;[110] Brunei–Palestine relations"
Bulgaria,25 November 1988[96],Yes,"EU, NATO; Bulgaria–Palestine relations"
Burkina Faso,21 November 1988[96],Yes,"AU, OIC; Burkina Faso–Palestine relations"
Burundi,22 December 1988[96],No,AU
Canada,21 September 2025[96]
Cambodia,21 November 1988[96],Yes,ASEAN
Cape Verde,24 November 1988[96],Yes[121],AU
Central African Republic,23 December 1988[96],No,AU
Chad,1 December 1988[96],Yes,"AU, OIC"
Chile,7 January 2011[96],Yes[167],OAS; Chile–Palestine relations
China,20 November 1988[96],Yes,"BRICS, G20, UNSC (permanent); China–Palestine relations"
Colombia,3 August 2018[96],Yes,OAS
Comoros,21 November 1988[96],Yes,"Arab League, AU, OIC; Comoros–Palestine relations"
Costa Rica,5 February 2008[96],Yes[153],OAS
Cuba,16 November 1988[96],Yes,Cuba–Palestine relations
